emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
melonds,ds-arm-fast,bench-nds-hw-arm-fast,render_canvas,2,424954.00,424954,424954,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,render_end,2,35.00,35,35,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,render_frame,2,425600.00,425600,425600,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,scene_position_sum_x,2,2995.00,2995,2995,0.00,0.000000,0,1,d8635f64,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,scene_position_sum_y,2,1943.00,1943,1943,0.00,0.000000,0,1,d8635f64,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,scene_things_created,2,27.00,27,27,0.00,0.000000,0,1,d8635f64,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,timer_read_overhead_ticks,2,14.00,14,14,0.00,0.000000,0,1,00000000,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,touch_create_and_drag,2,6529.00,6529,6529,0.00,0.000000,0,1,d8635f64,124
melonds,ds-arm-fast,bench-nds-hw-arm-fast,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,frame_total,2,557657.00,557657,557657,0.00,0.000000,456,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test,2,1664.00,1664,1664,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test_heap_delta_bytes,2,0.00,0,0,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,hit_test_heap_fixed_pass,2,1.00,1,1,0.00,0.000000,0,1,d82df0ac,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,line_quads_rendered,2,22549.00,22549,22549,0.00,0.000000,0,1,8c4d9050,124
melonds,ds-thumb-fast,bench-nds-hw-thumb-fast,overall_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
